1,0.95388,0.95388,0.95388,0.95388
2,0.42462,0.64879,0.82214,0.34132
3,0.24949,0.46575,0.71361,0.1289
4,0.17329,0.35067,0.62373,0.082957
5,0.13371,0.27536,0.54882,0.072805
6,0.11047,0.22426,0.48608,0.067691
7,0.095582,0.18832,0.43332,0.064104
8,0.085444,0.16231,0.38861,0.061348
9,0.078207,0.14289,0.35051,0.059126
10,0.072741,0.12803,0.31804,0.057297
11,0.06847,0.11639,0.29027,0.055716
12,0.065029,0.10709,0.2663,0.054347
13,0.062237,0.099555,0.2455,0.053131
14,0.059862,0.09335,0.22739,0.052027
15,0.057817,0.088213,0.21152,0.051035
16,0.055993,0.083873,0.1977,0.05012
17,0.054382,0.080173,0.18549,0.04928
18,0.052917,0.076977,0.17467,0.048492
19,0.05158,0.074188,0.16505,0.047767
20,0.05035,0.071735,0.15648,0.047073
21,0.049193,0.069568,0.14878,0.046423
22,0.048103,0.06762,0.14188,0.045803
23,0.047084,0.06586,0.13564,0.045216
24,0.046082,0.0643,0.13,0.044647
25,0.045135,0.062877,0.12488,0.044112
26,0.044254,0.061568,0.12021,0.04359
27,0.043354,0.06036,0.11595,0.043094
28,0.042528,0.059251,0.11204,0.042614
29,0.0417,0.058217,0.10846,0.04215
30,0.040908,0.057245,0.10517,0.041694
31,0.040139,0.05633,0.10213,0.041256
32,0.039389,0.055459,0.099317,0.04083
33,0.038669,0.054643,0.096709,0.040415
34,0.037959,0.053864,0.094294,0.040011
35,0.037248,0.053126,0.092066,0.039636
36,0.036524,0.052428,0.089991,0.039262
37,0.035863,0.051757,0.088054,0.038891
38,0.035187,0.051108,0.08624,0.038537
39,0.034497,0.050484,0.084537,0.03819
40,0.033835,0.049885,0.082936,0.037845
41,0.033212,0.049308,0.081433,0.037519
42,0.03257,0.048741,0.080022,0.037174
43,0.031965,0.048196,0.078688,0.036863
44,0.031371,0.047664,0.077433,0.036534
45,0.030782,0.047145,0.076245,0.036227
46,0.030187,0.046633,0.075117,0.035918
47,0.029613,0.046147,0.074044,0.035613
48,0.029036,0.045656,0.073025,0.035312
49,0.028487,0.045184,0.072058,0.035018
50,0.027951,0.044717,0.071136,0.034735
51,0.027365,0.044272,0.07026,0.034448
52,0.026847,0.043821,0.069421,0.034163
53,0.026285,0.043384,0.068619,0.033895
54,0.025751,0.042962,0.067846,0.033619
55,0.025222,0.04253,0.067106,0.033361
56,0.024664,0.042112,0.066395,0.033096
57,0.02421,0.041702,0.065714,0.032848
58,0.023677,0.04129,0.065062,0.032595
59,0.023171,0.040898,0.064449,0.03235
